pcd_a,pcd_b,score,decision
0100,0101,0.9298,AUTO_SAME
0101,0102,0.6382,AUTO_SAME
0102,0103,0.6332,AUTO_SAME
0103,0104,0.6871,AUTO_SAME
0104,0105,0.6885,AUTO_SAME
0105,0106,0.1568,MANUAL
0106,0107,0.2948,MANUAL
0107,0108,0.1652,MANUAL
0108,0109,0.3226,MANUAL
0109,0110,0.4311,AUTO_SAME
0110,0111,0.5255,AUTO_SAME
0111,0112,0.7461,AUTO_SAME
0112,0113,0.8452,AUTO_SAME
0113,0114,0.2278,MANUAL
0114,0115,0.5534,AUTO_SAME
0115,0116,0.6791,AUTO_SAME
0116,0117,0.7541,AUTO_SAME
0117,0118,0.0632,AUTO_DIFFERENT
0118,0119,0.6545,AUTO_SAME
0119,0120,0.7498,AUTO_SAME
0120,0121,0.7472,AUTO_SAME
0121,0122,0.3843,MANUAL
0122,0123,0.8436,AUTO_SAME
0123,0124,0.6249,AUTO_SAME
0124,0125,0.3142,MANUAL
0125,0126,0.1026,AUTO_DIFFERENT
0126,0127,0.5681,AUTO_SAME
0127,0128,0.4210,AUTO_SAME
0128,0129,0.1801,MANUAL
0129,0130,0.5568,AUTO_SAME
0130,0131,0.2636,MANUAL
0131,0132,0.1664,MANUAL
0132,0133,0.1135,AUTO_DIFFERENT
0133,0134,0.3106,MANUAL
0134,0135,0.2537,MANUAL
0135,0136,0.3803,MANUAL
0136,0137,0.2308,MANUAL
0137,0138,0.3043,MANUAL
0138,0139,0.2056,MANUAL
0139,0140,0.7650,AUTO_SAME
0140,0141,0.0827,AUTO_DIFFERENT
0141,0142,0.5050,AUTO_SAME
0142,0143,0.4898,AUTO_SAME
0143,0144,0.5591,AUTO_SAME
0144,0145,0.1343,AUTO_DIFFERENT
0145,0146,0.1357,AUTO_DIFFERENT
0146,0147,0.6268,AUTO_SAME
0147,0148,0.2013,MANUAL
0148,0149,0.3677,MANUAL
0149,0150,0.0810,AUTO_DIFFERENT
0150,0151,0.0561,AUTO_DIFFERENT
0151,0152,0.0376,AUTO_DIFFERENT
0152,0153,0.1225,AUTO_DIFFERENT
0153,0154,0.1182,AUTO_DIFFERENT
0154,0155,0.5199,AUTO_SAME
0155,0156,0.3584,MANUAL
0156,0157,0.0680,AUTO_DIFFERENT
0157,0158,0.5989,AUTO_SAME
0158,0159,0.6392,AUTO_SAME
0159,0160,0.7488,AUTO_SAME
0160,0161,0.3945,MANUAL
0161,0162,0.7816,AUTO_SAME
0162,0163,0.4779,AUTO_SAME
0163,0164,0.5299,AUTO_SAME
0164,0165,0.5323,AUTO_SAME
0165,0166,0.8323,AUTO_SAME
0166,0167,0.5895,AUTO_SAME
0167,0168,0.8012,AUTO_SAME
0168,0169,0.0072,AUTO_DIFFERENT
0169,0170,0.7804,AUTO_SAME
0170,0171,0.3781,MANUAL
0171,0172,0.4117,MANUAL
0172,0173,,MANUAL
0173,0174,,MANUAL
0174,0175,,MANUAL
0175,0176,0.0145,AUTO_DIFFERENT
0176,0177,0.0709,AUTO_DIFFERENT
0177,0178,,MANUAL
0178,0179,,MANUAL
0179,0180,0.6366,AUTO_SAME
0180,0181,0.4312,AUTO_SAME
0181,0182,0.7918,AUTO_SAME
0182,0183,,MANUAL
0183,0184,,MANUAL
0184,0185,,MANUAL
0185,0186,0.4789,AUTO_SAME
0186,0187,0.3953,MANUAL
0187,0188,0.6966,AUTO_SAME
0188,0189,0.0531,AUTO_DIFFERENT
0189,0190,0.5553,AUTO_SAME
0190,0191,0.6172,AUTO_SAME
0191,0192,0.5292,AUTO_SAME
0192,0193,0.1976,MANUAL
0193,0194,0.9118,AUTO_SAME
0194,0195,0.7531,AUTO_SAME
0195,0196,0.5794,AUTO_SAME
0196,0197,0.0984,AUTO_DIFFERENT
0197,0198,0.8138,AUTO_SAME
0198,0199,0.0647,AUTO_DIFFERENT
0199,0200,0.0728,AUTO_DIFFERENT
0200,0201,0.0433,AUTO_DIFFERENT
0201,0202,0.6043,AUTO_SAME
0202,0203,0.1169,AUTO_DIFFERENT
0203,0204,0.5789,AUTO_SAME
0204,0205,,MANUAL
0205,0206,,MANUAL
0206,0207,,MANUAL
0207,0208,,MANUAL
0208,0209,,MANUAL
0209,0210,0.5418,AUTO_SAME
0210,0211,,MANUAL
0211,0212,,MANUAL
0212,0213,0.0930,AUTO_DIFFERENT
0213,0214,0.4110,MANUAL
0214,0215,0.3561,MANUAL
0215,0216,0.3584,MANUAL
0216,0217,0.0056,AUTO_DIFFERENT
0217,0218,0.9063,AUTO_SAME
0218,0219,0.0957,AUTO_DIFFERENT
0219,0220,0.7046,AUTO_SAME
0220,0221,0.4793,AUTO_SAME
0221,0222,0.7216,AUTO_SAME
0222,0223,0.1372,AUTO_DIFFERENT
0223,0224,0.5208,AUTO_SAME
0224,0225,0.2038,MANUAL
0225,0226,0.6265,AUTO_SAME
0226,0227,0.1029,AUTO_DIFFERENT
0227,0228,0.4625,AUTO_SAME
0228,0229,0.2934,MANUAL
0229,0230,0.5739,AUTO_SAME
0230,0231,0.4803,AUTO_SAME
