object_id,object_label,label_vote_share,n_images,a_acc,b_acc,c_acc
56,object 56 (label uncertain),0.00,9,77.8,100.0,6.7
23,toothbrush,0.40,8,50.0,100.0,0.0
139,flip-flop sandal,0.20,8,50.0,75.0,15.0
189,green apple,0.50,8,100.0,87.5,40.0
107,computer mouse,0.60,5,60.0,100.0,16.0
183,object 183 (label uncertain),0.00,5,0.0,100.0,24.0
6,green pen,0.60,4,100.0,100.0,0.0
7,sunglasses,1.00,4,25.0,75.0,5.0
8,rectangular box,0.45,4,75.0,75.0,5.0
26,object 26 (label uncertain),0.00,4,75.0,50.0,0.0
35,toothbrush,1.00,4,75.0,50.0,0.0
50,object 50 (label uncertain),0.00,4,25.0,75.0,0.0
70,mug,0.26,4,25.0,25.0,15.0
114,scissors,1.00,4,75.0,50.0,10.0
163,remote control,0.20,4,100.0,100.0,25.0
166,folded umbrella,1.00,4,75.0,75.0,15.0
173,potato masher,0.30,4,50.0,75.0,25.0
179,cleaning brush,0.50,4,25.0,75.0,10.0
188,red grape,0.40,4,100.0,100.0,15.0
57,metal bolt,0.27,3,66.7,33.3,6.7
150,purple cup,0.40,3,66.7,66.7,13.3
151,object 151 (label uncertain),0.00,3,0.0,100.0,20.0
71,calculator,0.40,2,50.0,100.0,40.0
108,wristwatch,0.30,2,50.0,100.0,10.0
129,blue sunglasses,0.30,2,50.0,50.0,10.0
143,plastic dispenser,0.20,2,50.0,100.0,20.0
230,object 230 (label uncertain),0.00,2,50.0,100.0,0.0
231,object 231 (label uncertain),0.00,2,50.0,100.0,20.0
22,toothbrush,1.00,1,100.0,0.0,0.0
28,digital camera,0.40,1,0.0,100.0,0.0
55,rectangular device,0.80,1,0.0,100.0,0.0
59,plastic cup,1.00,1,0.0,0.0,0.0
62,black bowl,0.80,1,0.0,0.0,0.0
154,red spool,0.20,1,100.0,100.0,0.0
221,object 221 (label uncertain),0.00,1,0.0,100.0,0.0
