pcd_id,category,score,x1,y1,x2,y2
0100,book,0.6519,437.8,0.1,521.8,85.5
0101,book,0.6201,437.9,0.6,519.6,85.9
0102,book,0.5608,435.4,0.3,521.5,95.8
0103,laptop,0.5504,8.5,0.0,448.8,126.6
0104,mouse,0.7880,586.9,291.9,638.1,344.3
0105,book,0.6093,438.7,0.1,519.9,90.4
0106,kite,0.6055,236.3,278.8,323.8,314.3
0107,book,0.5385,438.5,0.2,519.8,85.3
0108,,,,,,
0109,laptop,0.7036,14.6,0.7,447.3,129.2
0110,laptop,0.6857,7.9,0.0,447.0,125.9
0111,laptop,0.5948,8.3,0.0,447.4,125.7
0112,book,0.5883,438.4,0.2,520.3,84.5
0113,snowboard,0.6445,153.3,262.0,321.2,312.8
0114,,,,,,
0115,book,0.6404,437.4,0.0,520.6,90.0
0116,book,0.6716,437.6,0.1,521.6,88.7
0117,snowboard,0.5770,154.0,227.6,307.3,340.2
0118,book,0.6251,437.9,0.8,520.3,84.5
0119,laptop,0.6591,0.0,1.1,461.0,125.9
0120,laptop,0.5464,8.7,0.6,458.1,126.7
0121,book,0.5355,437.5,0.1,521.5,89.0
0122,mouse,0.9903,266.1,251.5,304.1,300.2
0123,laptop,0.6538,12.9,0.0,446.5,126.9
0124,laptop,0.6718,11.7,0.0,448.0,126.6
0125,laptop,0.6254,13.2,1.3,457.6,125.9
0126,laptop,0.5682,2.8,1.5,455.4,125.9
0127,book,0.6058,437.4,0.3,521.8,90.8
0128,,,,,,
0129,frisbee,0.9904,241.0,263.8,320.3,286.3
0130,laptop,0.5021,4.7,1.3,456.1,126.0
0131,book,0.5755,437.6,0.5,520.7,88.4
0132,frisbee,0.9648,235.8,297.4,317.8,309.8
0133,book,0.6858,436.8,0.7,521.6,93.8
0134,book,0.6065,437.5,2.4,521.5,87.9
0135,laptop,0.6058,11.2,0.9,460.3,125.6
0136,book,0.5706,438.9,0.4,519.7,83.6
0137,book,0.7019,437.5,0.3,519.2,89.1
0138,laptop,0.6075,16.0,0.0,446.1,125.6
0139,,,,,,
0140,book,0.8720,204.2,262.4,319.0,323.2
0141,book,0.5095,438.6,0.2,519.4,83.6
0142,book,0.6785,438.4,0.5,521.0,87.0
0143,book,0.6955,180.8,194.1,325.0,317.7
0144,laptop,0.6073,2.6,1.0,446.1,127.3
0145,book,0.7789,201.7,110.8,269.2,230.3
0146,laptop,0.6696,3.1,0.0,447.1,127.0
0147,book,0.7885,144.8,224.6,361.5,328.4
0148,laptop,0.7014,5.6,1.3,460.8,126.3
0149,laptop,0.5847,11.1,0.0,447.8,127.0
0150,boat,0.7891,212.1,189.7,279.1,361.0
0151,book,0.8561,189.3,234.2,321.4,335.6
0152,book,0.5786,437.8,0.1,520.4,90.7
0153,laptop,0.7831,4.3,0.1,445.4,125.7
0154,laptop,0.6861,3.3,1.7,458.9,126.9
0155,kite,0.6195,218.0,242.8,300.6,333.0
0156,book,0.6892,437.5,1.5,521.7,91.0
0157,laptop,0.6678,14.5,0.0,447.0,126.7
0158,,,,,,
0159,laptop,0.7493,3.2,0.0,452.1,127.3
0160,laptop,0.8336,6.4,1.6,461.9,126.3
0161,book,0.6260,437.8,0.1,522.2,92.7
0162,book,0.5215,438.1,0.1,521.1,88.4
0163,book,0.6408,438.4,0.5,519.5,86.2
0164,book,0.6662,437.5,0.0,521.5,87.0
0165,laptop,0.8332,0.0,0.2,453.1,127.2
0166,laptop,0.8046,2.3,0.0,450.1,124.3
0167,book,0.6367,437.8,0.5,521.1,85.2
0168,laptop,0.7218,8.5,0.0,449.4,126.9
0169,bottle,0.9589,252.3,234.3,297.2,299.4
0170,laptop,0.7261,11.7,0.8,449.8,127.0
0171,laptop,0.7722,27.2,0.6,446.9,127.7
0172,laptop,0.7686,6.6,0.0,446.2,126.8
0173,laptop,0.7684,8.3,1.6,460.8,125.9
0174,book,0.6496,437.7,0.0,521.2,89.8
0175,laptop,0.6888,11.0,0.0,446.4,125.8
0176,skis,0.6505,242.2,281.5,351.8,324.3
0177,laptop,0.6772,0.8,0.4,450.3,126.2
0178,laptop,0.6300,11.5,0.0,447.0,127.9
0179,laptop,0.8285,12.1,0.0,445.9,125.6
0180,toothbrush,0.7415,237.5,237.8,266.9,342.4
0181,laptop,0.5868,0.0,0.3,458.3,126.2
0182,laptop,0.7180,0.6,0.6,447.7,128.1
0183,book,0.6362,437.7,0.2,522.5,87.7
0184,laptop,0.6664,11.9,0.0,446.5,126.5
0185,laptop,0.5011,1.6,0.3,455.6,126.8
0186,laptop,0.7822,11.0,0.3,448.3,129.5
0187,laptop,0.7714,10.5,0.0,445.0,125.9
0188,laptop,0.6029,18.6,0.1,445.3,127.4
0189,book,0.6497,437.9,0.0,520.0,88.1
0190,book,0.5718,437.4,0.0,521.2,89.9
0191,laptop,0.7478,4.7,0.0,446.3,125.5
0192,laptop,0.7750,0.0,1.5,462.3,125.7
0193,laptop,0.6110,13.7,0.8,447.4,126.7
0194,book,0.6570,438.3,0.3,519.6,87.1
0195,book,0.7263,438.5,0.3,521.0,87.6
0196,laptop,0.6540,4.2,0.0,447.5,127.2
0197,book,0.6295,438.2,0.0,522.2,85.3
0198,laptop,0.7067,10.3,0.0,450.3,128.0
0199,,,,,,
0200,laptop,0.7701,7.1,1.3,451.4,126.9
0201,kite,0.8808,235.5,275.7,325.9,342.4
0202,book,0.6423,437.9,0.0,522.0,88.4
0203,kite,0.9386,215.1,274.0,303.7,321.8
0204,laptop,0.6783,11.5,0.5,450.0,126.8
0205,book,0.6940,437.9,0.1,521.7,86.9
0206,laptop,0.6086,3.0,0.0,447.6,126.2
0207,book,0.6681,438.0,0.3,522.6,88.7
0208,laptop,0.6266,9.0,1.2,460.4,126.6
0209,book,0.6854,438.3,0.4,519.7,83.8
0210,,,,,,
0211,laptop,0.7762,0.0,0.7,448.7,126.1
0212,book,0.6860,437.9,0.1,521.7,89.9
0213,book,0.5952,438.6,0.0,520.3,83.4
0214,book,0.6574,437.3,0.2,521.4,91.7
0215,book,0.5527,437.7,0.0,521.2,89.4
0216,toothbrush,0.9796,266.3,249.2,302.4,356.7
0217,laptop,0.7446,11.1,1.4,458.8,126.0
0218,laptop,0.8112,7.4,0.7,445.5,125.6
0219,laptop,0.6842,5.4,0.2,453.2,125.9
0220,kite,0.9623,233.9,286.8,304.3,308.5
0221,book,0.5574,437.9,1.9,520.9,87.6
0222,book,0.6310,437.5,0.4,522.6,87.3
0223,kite,0.9026,229.9,253.7,307.2,312.0
0224,laptop,0.6631,5.7,0.0,448.5,126.3
0225,book,0.6560,437.9,0.7,521.0,83.3
0226,airplane,0.5877,215.4,257.6,280.8,327.6
0227,laptop,0.5962,0.0,0.9,457.1,125.8
0228,laptop,0.6257,3.6,0.0,446.8,126.7
0229,airplane,0.7537,236.2,263.3,312.5,312.7
0230,book,0.6255,438.0,0.0,522.6,84.8
0231,book,0.7298,438.6,0.5,519.9,83.6
0232,airplane,0.7607,216.7,281.9,294.0,301.2
0233,book,0.6622,436.8,0.9,521.8,91.4
0234,book,0.6151,438.1,0.1,520.3,87.5
0235,laptop,0.7293,5.1,0.0,445.9,130.1
0236,book,0.6453,437.5,0.8,521.9,86.2
0237,book,0.6069,438.3,0.4,520.1,85.5
0238,laptop,0.5641,11.9,0.8,447.6,131.3
0239,laptop,0.7170,5.9,0.0,450.4,126.2
0240,kite,0.7123,240.9,258.4,273.4,316.8
0241,laptop,0.7492,12.6,1.6,443.2,125.9
0242,book,0.6827,438.1,0.0,520.0,92.3
