pcd_id,object_id,s0_correct,s1_correct,s2_correct
0129,6,1,1,1
0130,6,1,1,1
0131,6,1,1,1
0132,6,1,1,1
0133,7,0,0,0
0134,7,0,0,0
0135,7,0,0,0
0136,7,0,0,0
0137,8,1,1,1
0138,8,1,1,1
0139,8,1,1,1
0140,8,1,1,1
0176,22,1,1,1
0177,23,1,1,1
0178,23,1,1,1
0179,23,1,1,1
0180,23,1,1,1
0181,23,1,1,1
0182,23,1,1,1
0183,23,1,1,1
0184,23,1,1,1
0193,26,1,0,1
0194,26,0,0,1
0195,26,1,1,0
0196,26,0,1,1
0199,28,1,1,1
0213,35,1,1,1
0214,35,1,1,1
0215,35,1,1,1
0216,35,1,1,1
0284,50,1,1,1
0285,50,1,1,1
0286,50,1,1,1
0287,50,1,1,1
0299,55,1,1,1
0300,56,1,1,1
0301,56,1,1,1
0302,56,1,1,1
0303,56,1,1,1
0304,56,1,1,1
0305,56,1,1,1
0306,56,1,1,1
0307,56,1,1,1
0308,56,1,1,1
0309,57,1,1,1
0310,57,1,1,1
0311,57,1,1,1
0316,59,0,0,0
0324,62,0,0,0
0347,70,0,0,0
0348,70,0,0,0
0349,70,1,1,1
0350,70,1,1,1
0351,71,1,1,1
0352,71,1,1,1
0517,107,1,1,1
0518,107,1,1,0
0519,107,0,0,0
0520,107,0,0,0
0521,107,1,1,1
0522,108,1,1,1
0523,108,1,1,1
0546,114,1,1,1
0547,114,1,1,1
0548,114,0,0,0
0549,114,0,0,0
0618,129,0,0,0
0619,129,1,1,1
0633,139,1,1,1
0634,139,1,1,1
0635,139,1,1,1
0636,139,1,1,1
0637,139,1,1,1
0638,139,1,1,1
0639,139,1,1,1
0640,139,1,1,1
0651,143,1,1,1
0652,143,1,1,1
0675,150,0,0,0
0676,150,1,1,1
0677,150,1,1,1
0678,151,1,1,1
0679,151,1,1,1
0680,151,1,1,1
0684,154,1,1,1
0723,163,1,1,1
0724,163,1,1,1
0725,163,1,1,1
0726,163,1,1,1
0731,166,1,1,1
0732,166,1,1,1
0733,166,1,1,1
0734,166,1,1,1
0759,173,1,0,1
0760,173,1,1,1
0761,173,1,1,1
0762,173,0,1,1
0783,179,1,1,1
0784,179,1,1,1
0785,179,1,1,1
0786,179,1,1,1
0797,183,1,1,1
0798,183,1,1,1
0799,183,1,1,1
0800,183,1,1,1
0801,183,0,0,0
0816,188,1,1,1
0817,188,1,1,1
0818,188,1,1,1
0819,188,1,1,1
0820,189,1,1,1
0821,189,1,1,1
0822,189,1,1,1
0823,189,1,1,1
0824,189,1,1,1
0825,189,1,1,1
0826,189,1,1,1
0827,189,1,1,1
1000,221,1,1,1
1027,230,1,1,1
1028,230,1,0,0
1029,231,0,0,0
1030,231,1,1,0
