pcd_id,n_parsed,self_agreement,pairwise_angle_spread,pairwise_iou,n_repeats_correct
0129,5,0.300,0.0,0.182,0
0130,5,0.300,27.3,0.135,0
0131,5,0.200,0.0,0.128,0
0132,5,0.000,0.0,0.015,0
0133,5,0.100,0.0,0.090,0
0134,5,0.100,0.0,0.130,0
0135,5,0.400,0.0,0.194,1
0136,5,0.000,0.0,0.035,0
0137,5,0.400,0.0,0.184,0
0138,5,0.500,0.0,0.218,1
0139,5,0.100,0.0,0.059,0
0140,5,0.200,0.0,0.157,0
0176,5,0.100,23.3,0.111,0
0177,5,0.300,3.8,0.118,0
0178,5,0.100,0.0,0.147,0
0179,5,0.000,5.6,0.058,0
0180,5,0.400,1.4,0.175,0
0181,5,0.100,0.0,0.059,0
0182,5,0.100,0.0,0.112,0
0183,5,0.000,17.0,0.050,0
0184,5,0.200,0.0,0.097,0
0193,5,0.000,11.7,0.064,0
0194,5,0.100,2.9,0.195,0
0195,5,0.100,0.0,0.049,0
0196,5,0.100,0.0,0.061,0
0199,5,0.100,0.0,0.061,0
0213,5,0.000,10.2,0.018,0
0214,5,0.300,8.7,0.177,0
0215,5,0.100,18.1,0.092,0
0216,5,0.100,3.8,0.076,0
0284,5,0.100,0.0,0.086,0
0285,5,0.100,0.0,0.043,0
0286,5,0.100,0.0,0.063,0
0287,5,0.300,0.0,0.150,0
0299,5,0.100,11.6,0.125,0
0300,5,0.300,0.0,0.204,1
0301,5,0.100,0.0,0.118,0
0302,5,0.300,0.0,0.146,0
0303,5,0.400,0.0,0.311,1
0304,5,0.000,0.0,0.022,1
0305,5,0.100,27.3,0.146,0
0306,5,0.300,0.0,0.126,0
0307,5,0.400,0.0,0.218,0
0308,5,0.200,0.0,0.174,0
0309,5,0.400,0.0,0.276,0
0310,5,0.000,0.0,0.043,0
0311,5,0.300,0.0,0.193,1
0316,5,0.000,0.0,0.008,0
0324,5,0.300,0.0,0.127,0
0347,4,0.000,0.0,0.036,0
0348,5,0.100,14.2,0.074,0
0349,5,0.100,0.0,0.056,2
0350,5,0.200,0.0,0.146,1
0351,5,0.100,0.0,0.085,4
0352,5,0.600,3.3,0.334,0
0517,5,0.400,0.0,0.161,0
0518,5,0.300,0.0,0.160,0
0519,5,0.300,3.8,0.123,0
0520,5,0.100,0.0,0.116,3
0521,5,0.300,0.0,0.230,1
0522,5,0.600,0.0,0.332,1
0523,5,0.200,20.2,0.141,0
0546,5,0.100,3.3,0.061,0
0547,5,0.300,25.4,0.138,0
0548,5,0.000,30.7,0.053,0
0549,5,0.200,27.6,0.079,2
0618,5,0.000,9.6,0.017,1
0619,5,0.300,0.0,0.099,0
0633,5,0.400,32.3,0.209,1
0634,5,0.200,2.5,0.135,0
0635,5,0.000,0.0,0.033,3
0636,5,0.100,23.8,0.108,1
0637,5,0.300,0.0,0.205,0
0638,5,0.300,36.0,0.306,1
0639,5,0.100,12.5,0.124,0
0640,5,0.000,10.6,0.052,0
0651,5,0.400,0.0,0.130,0
0652,5,0.200,0.0,0.112,2
0675,5,0.500,0.0,0.219,1
0676,5,0.100,0.0,0.061,0
0677,5,0.300,0.8,0.172,1
0678,5,0.200,36.0,0.128,2
0679,5,0.300,36.0,0.180,1
0680,5,0.300,0.8,0.109,0
0684,5,0.700,0.0,0.374,0
0723,5,0.200,0.0,0.069,4
0724,5,0.600,0.0,0.267,0
0725,5,0.500,9.6,0.230,0
0726,5,0.500,3.3,0.205,1
0731,5,0.000,0.0,0.076,0
0732,5,0.000,2.9,0.019,0
0733,5,0.000,3.7,0.013,3
0734,5,0.200,0.0,0.089,0
0759,5,0.100,0.0,0.033,0
0760,5,0.100,29.7,0.045,1
0761,5,0.000,34.1,0.042,3
0762,5,0.000,36.0,0.023,1
0783,5,0.100,0.0,0.085,0
0784,5,0.200,9.3,0.082,1
0785,5,0.400,11.9,0.178,1
0786,5,0.200,0.0,0.134,0
0797,5,0.100,20.9,0.134,0
0798,5,0.300,0.0,0.192,0
0799,5,0.000,16.4,0.002,0
0800,5,0.400,0.0,0.212,4
0801,5,0.100,0.0,0.065,2
0816,5,0.400,0.0,0.212,2
0817,5,0.200,0.0,0.175,0
0818,5,0.300,0.0,0.217,0
0819,5,0.300,0.0,0.180,1
0820,5,1.000,0.0,0.444,0
0821,5,0.500,0.0,0.311,1
0822,5,0.700,0.0,0.273,1
0823,5,0.400,0.0,0.225,3
0824,5,0.700,0.0,0.354,5
0825,5,0.300,0.0,0.166,2
0826,5,0.200,0.0,0.134,1
0827,5,0.400,0.0,0.234,3
1000,5,0.100,37.4,0.081,0
1027,5,0.200,0.0,0.072,0
1028,5,0.100,0.0,0.052,0
1029,5,0.000,0.0,0.009,0
1030,5,0.000,0.0,0.051,2
